index,NA,NS,LS,MS,S,HS,name,NA_change,NA_change_%,NS_change,NS_change_%,LS_change,LS_change_%,MS_change,MS_change_%,S_change,S_change_%,HS_change,HS_change_%,weight
0.06,4935.6252,2087.3601,6.2433,328.8735,2074.4091,295.1964,land_use,0.0,0.0,0.0,0.0,0.0,0.0,0.22589999999996735,0.06873623905970022,0.1133999999997286,0.005466915830743351,-0.339300000000037,-0.11480846476416792,0.025
0.07,4935.6252,2087.3601,6.2433,328.8735,2074.4091,295.1964,land_use,0.0,0.0,0.0,0.0,0.0,0.0,0.22589999999996735,0.06873623905970022,0.1133999999997286,0.005466915830743351,-0.339300000000037,-0.11480846476416792,0.025
0.08,4935.6252,2087.3601,6.2433,326.8746,2076.3927,295.2117,land_use,0.0,0.0,0.0,0.0,0.0,0.0,-1.7730000000000246,-0.5394836292734297,2.0969999999997526,0.10109455464810309,-0.3240000000000123,-0.10963142523898543,0.025
0.09,4935.6252,2087.3601,6.2433,326.8746,2076.3927,295.2117,land_use,0.0,0.0,0.0,0.0,0.0,0.0,-1.7730000000000246,-0.5394836292734297,2.0969999999997526,0.10109455464810309,-0.3240000000000123,-0.10963142523898543,0.025
0.1,4935.6252,2087.3601,6.2244,323.8344,2079.4662,295.1973,land_use,0.0,0.0,0.0,0.0,-0.018899999999999473,-0.3027245206861672,-4.813199999999995,-1.4645474362204363,5.17049999999972,0.24926532894995246,-0.33840000000003556,-0.11450393302739248,0.025
0.11,4935.6252,2087.3601,6.2244,323.8344,2079.4671,295.1964,land_use,0.0,0.0,0.0,0.0,-0.018899999999999473,-0.3027245206861672,-4.813199999999995,-1.4645474362204363,5.171399999999721,0.24930871717083158,-0.339300000000037,-0.11480846476416792,0.025
0.12,4935.6252,2087.3601,6.1758,323.3979,2079.9594,295.1892,land_use,0.0,0.0,0.0,0.0,-0.0674999999999999,-1.0811590024506255,-5.2497000000000185,-1.597364471853748,5.663700000000063,0.2730420739916716,-0.3464999999999918,-0.11724471865835219,0.025
0.13,4935.6252,2087.3601,6.1758,323.3979,2079.9594,295.1892,land_use,0.0,0.0,0.0,0.0,-0.0674999999999999,-1.0811590024506255,-5.2497000000000185,-1.597364471853748,5.663700000000063,0.2730420739916716,-0.3464999999999918,-0.11724471865835219,0.025
0.14,4935.6252,2087.3601,6.1461,323.4114,2080.053,295.1118,land_use,0.0,0.0,0.0,0.0,-0.09719999999999995,-1.5568689635289024,-5.236199999999997,-1.5932567284836392,5.757299999999759,0.27755444896307496,-0.4239000000000033,-0.1434344480210016,0.025
0.15,4935.6252,2087.3601,6.1461,323.4114,2080.053,295.1118,land_use,0.0,0.0,0.0,0.0,-0.09719999999999995,-1.5568689635289024,-5.236199999999997,-1.5932567284836392,5.757299999999759,0.27755444896307496,-0.4239000000000033,-0.1434344480210016,0.025
0.16,4935.6252,2087.3601,6.1443,323.2215,2080.2915,295.065,land_use,0.0,0.0,0.0,0.0,-0.09899999999999931,-1.5856998702609086,-5.4261000000000195,-1.6510389852230838,5.99579999999969,0.28905232749601173,-0.4707000000000221,-0.15927009833330527,0.025
0.17,4935.6252,2087.3601,6.1443,323.2215,2080.2915,295.065,land_use,0.0,0.0,0.0,0.0,-0.09899999999999931,-1.5856998702609086,-5.4261000000000195,-1.6510389852230838,5.99579999999969,0.28905232749601173,-0.4707000000000221,-0.15927009833330527,0.025
0.18,4935.6252,2087.3601,6.1443,323.2125,2080.3059,295.0596,land_use,0.0,0.0,0.0,0.0,-0.09899999999999931,-1.5856998702609086,-5.435100000000034,-1.6537774808031562,6.010199999999713,0.2897465390300772,-0.47610000000003083,-0.16109728875395793,0.025
0.19,4935.6252,2087.3601,6.1443,323.2125,2080.3059,295.0596,land_use,0.0,0.0,0.0,0.0,-0.09899999999999931,-1.5856998702609086,-5.435100000000034,-1.6537774808031562,6.010199999999713,0.2897465390300772,-0.47610000000003083,-0.16109728875395793,0.025
0.2,4935.6252,2087.3601,6.1434,322.5708,2080.7766,295.2315,land_use,0.0,0.0,0.0,0.0,-0.09989999999999988,-1.600115323626926,-6.0767999999999915,-1.8490322156620012,6.48090000000002,0.31243857854981905,-0.3042000000000371,-0.10293172702994498,0.025
-0.2,4935.6252,2087.3601,4.5099,241.0227,1848.1653,611.0244,river,0.0,0.0,0.0,0.0,-1.7333999999999996,-27.7641631829321,-87.62490000000003,-26.662266817101365,-226.13040000000024,-10.901550825178889,315.4887,106.75146860430058,0.209
-0.19,4935.6252,2087.3601,4.5099,243.0072,1852.7832,604.422,river,0.0,0.0,0.0,0.0,-1.7333999999999996,-27.7641631829321,-85.6404,-26.058428541696333,-221.51250000000005,-10.678925863848631,308.8863,104.51742378331956,0.209
-0.18,4935.6252,2087.3601,4.5099,247.3974,1878.6042,574.2108,river,0.0,0.0,0.0,0.0,-1.7333999999999996,-27.7641631829321,-81.2502,-24.7225903977391,-195.69150000000013,-9.434117806829573,278.67509999999993,94.29490244325808,0.209
-0.17,4935.6252,2087.3601,5.7087,248.5908,1930.4604,519.9624,river,0.0,0.0,0.0,0.0,-0.5345999999999993,-8.562779299408955,-80.05680000000001,-24.359465883822065,-143.8353000000002,-6.934175296222239,224.42669999999998,75.93894747741135,0.209
-0.16,4935.6252,2087.3601,5.7087,253.107,1931.2065,514.7001,river,0.0,0.0,0.0,0.0,-0.5345999999999993,-8.562779299408955,-75.54060000000001,-22.985288801743877,-143.08920000000012,-6.898206461113529,219.1644,74.15835041248823,0.209
-0.15,4935.6252,2087.3601,5.7411,255.2166,1944.0657,499.6989,river,0.0,0.0,0.0,0.0,-0.5021999999999993,-8.043822978232654,-73.43100000000001,-22.343385437775908,-130.23000000000002,-6.278275561194096,204.16319999999996,69.08241542392338,0.209
-0.14,4935.6252,2087.3601,5.7816,258.7644,1975.4244,464.7519,river,0.0,0.0,0.0,0.0,-0.46169999999999956,-7.395127576762282,-69.88319999999999,-21.263870480113038,-98.87130000000002,-4.766499781106426,169.21619999999996,57.25744808495216,0.209
-0.13,4935.6252,2087.3601,5.9049,261.4491,1986.588,450.7803,river,0.0,0.0,0.0,0.0,-0.33840000000000003,-5.420210465619145,-67.19850000000002,-20.446977248578726,-87.70770000000016,-4.228312289323077,155.2446,52.52989740325788,0.209
-0.12,4935.6252,2087.3601,5.9139,268.2315,1989.4365,441.1404,river,0.0,0.0,0.0,0.0,-0.3293999999999997,-5.276055931959055,-60.41610000000003,-18.383246979439384,-84.8592000000001,-4.090988570240978,145.60469999999998,49.2680579706614,0.209
-0.11,4935.6252,2087.3601,5.9211,276.6321,2018.565,403.6041,river,0.0,0.0,0.0,0.0,-0.3221999999999996,-5.1607323050309875,-52.01550000000003,-15.82713520500379,-55.73070000000007,-2.6867288014915167,108.0684,36.566952824988654,0.209
-0.1,4935.6252,2087.3601,6.0219,279.4572,2026.0368,393.2064,river,0.0,0.0,0.0,0.0,-0.22140000000000004,-3.546201528038058,-49.19040000000001,-14.967521442420395,-48.25890000000004,-2.326519791753897,97.67069999999995,33.048697670027664,0.209
-0.09,4935.6252,2087.3601,6.0372,285.309,2045.1168,368.2593,river,0.0,0.0,0.0,0.0,-0.20609999999999928,-3.3011388208159036,-43.338599999999985,-13.186951616260087,-29.178900000000112,-1.4066895091186908,72.72359999999998,24.60738245836289,0.209
-0.08,4935.6252,2087.3601,6.0426,286.8552,2048.6988,363.1257,river,0.0,0.0,0.0,0.0,-0.20069999999999943,-3.2146461006198557,-41.79239999999999,-12.716478075604382,-25.596900000000005,-1.2340043900201887,67.58999999999997,22.870333431798585,0.209
-0.07,4935.6252,2087.3601,6.0597,292.1049,2050.2594,356.2983,river,0.0,0.0,0.0,0.0,-0.18359999999999932,-2.9407524866656947,-36.542700000000025,-11.11911360375065,-24.03630000000021,-1.1587692150159792,60.76259999999996,20.560155676623825,0.209
-0.06,4935.6252,2087.3601,6.0948,299.3436,2056.9851,342.2988,river,0.0,0.0,0.0,0.0,-0.1484999999999994,-2.37854980539137,-29.30400000000003,-8.916541608701852,-17.31060000000025,-0.8345290403870695,46.76310000000001,15.823164511089525,0.209
-0.05,4935.6252,2087.3601,6.0957,302.7078,2060.1864,335.7324,river,0.0,0.0,0.0,0.0,-0.14759999999999973,-2.364134352025367,-25.93979999999999,-7.892891960872372,-14.109300000000076,-0.6801971387203896,40.196699999999964,13.60130095957949,0.209
-0.04,4935.6252,2087.3601,6.1209,307.3104,2059.5816,331.7094,river,0.0,0.0,0.0,0.0,-0.12239999999999984,-1.9605016577771348,-21.337199999999996,-6.49242532122553,-14.714100000000144,-0.7093540231510937,36.1737,12.240044096195483,0.209
-0.03,4935.6252,2087.3601,6.1785,311.7069,2072.8557,313.9812,river,0.0,0.0,0.0,0.0,-0.06479999999999997,-1.0379126423526015,-16.940699999999993,-5.154670230362246,-1.4400000000000546,-0.06942115340643354,18.44549999999998,6.241377945202553,0.209
-0.02,4935.6252,2087.3601,6.21,318.2913,2072.5677,307.6533,river,0.0,0.0,0.0,0.0,-0.03329999999999966,-0.533371774542304,-10.356300000000033,-3.151186863984411,-1.7280000000000655,-0.08330538408772026,12.117599999999982,4.100215303937894,0.209
-0.01,4935.6252,2087.3601,6.2271,321.4296,2079.5823,297.4833,river,0.0,0.0,0.0,0.0,-0.016199999999999548,-0.25947816058814327,-7.218000000000018,-2.196273455214649,5.286599999999908,0.25486240944335503,1.9475999999999658,0.6590066783809758,0.209
0.0,4935.6252,2087.3601,6.2433,328.6476,2074.2957,295.5357,river,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.209
0.01,4935.6252,2087.3601,6.3135,333.8712,2078.4294,286.1082,river,0.0,0.0,0.0,0.0,0.0702000000000007,1.1244053625486634,5.223599999999976,1.5894228346715376,4.1336999999998625,0.1992820984973291,-9.427500000000009,-3.189969942717583,0.209
0.02,4935.6252,2087.3601,6.3243,334.4553,2079.5814,284.3613,river,0.0,0.0,0.0,0.0,0.0810000000000004,1.297390802940759,5.807700000000011,1.7671511978179701,5.285699999999906,0.25481902122247596,-11.174399999999991,-3.7810660437977512,0.209
0.03,4935.6252,2087.3601,6.4296,340.7076,2083.3578,274.2273,river,0.0,0.0,0.0,0.0,0.18630000000000013,2.983998846763733,12.060000000000002,3.6695840772913,9.0621000000001,0.43687599603085037,-21.308400000000006,-7.21009339988367,0.209
0.04,4935.6252,2087.3601,6.5205,343.1961,2096.6571,258.3486,river,0.0,0.0,0.0,0.0,0.27720000000000056,4.439959636730585,14.54849999999999,4.4267781051801345,22.361399999999776,1.0780237359601033,-37.187100000000044,-12.58294683180409,0.209
